"person.id","household.id","age","gender","worker","relationship.to.hh","is.hh","income","prop.hideable.income","filing.status","zipcode","lon","lat","self.employed","perceivedtaxrate","preptaxes.cpa","per.audit.rate","per.penalty.rate","c1","m","s","c1.tri.dist.dist","c1.alp.majority.fit","c1.alp.fit","actor.logical","tax.ids","tax.rate","household.size","num.dependents","self.employed.propensity"
2012096,2004443,55,0,1,1,1,73230,0.0736952,"Married.Filing.Jointly",97104,-122.885672095947,45.549772818509,FALSE,0.25,FALSE,0.34,0.07,0.61,0.0429724397435033,0.884195450430825,0.07,0.34,0.43,FALSE,21,0.137,2,1,0.366431810501706
2013321,2004868,37,1,1,1,1,167581,0.12801428,"Married.Filing.Jointly",97229,-122.84385753614,45.5468024730636,FALSE,0.26,FALSE,0.046,0.13,0.06,0.0507970056203639,0.68766307475882,0,0,0.04,FALSE,22,0.202,3,2,0.339541208108286
2013436,2004902,26,1,1,1,1,65771,0.06694602,"Married.Filing.Jointly",97229,-122.853980251793,45.5482875343392,FALSE,0.26,TRUE,0.21,1.43,0.45,0.0820621536750807,0.653548655944746,0.06,0.26,0.34,TRUE,23,0.136,3,2,0.361440679066299
2014043,2005082,28,1,1,1,1,69578,0.06694602,"Married.Filing.Jointly",97229,-122.849082835695,45.5391540872977,FALSE,0.26,FALSE,0.21,0.88,0.56,0.077510196547666,0.660634034320661,0.07,0.32,0.4,FALSE,24,0.136,2,1,0.207726572850258
2014540,2005236,40,1,1,1,1,84750,0.0736952,"Married.Filing.Jointly",97229,-122.847839923379,45.5478789733026,FALSE,0.24,TRUE,0.099,0.16,0.17,0.0643401210366487,0.743029710872274,0.01,0,0.14,FALSE,25,0.15,4,3,0.359324365384095
2015199,2005443,42,1,1,1,1,77132,0.0736952,"Married.Filing.Jointly",97229,-122.853116132331,45.5446139929411,FALSE,0.24,FALSE,0.099,0.16,0,0.0632504493867201,0.75787086616687,0,0,0,FALSE,26,0.14,4,3,0.404263437467443
2015626,2005572,42,1,1,1,1,51117,0.06694602,"Married.Filing.Jointly",97229,-122.844357023331,45.53709550085,FALSE,0.24,TRUE,0.13,0.16,0.22,0.0664521984597068,0.763353575887941,0.02,0.01,0.19,FALSE,27,0.132,3,2,0.395020946465291
2015960,2005681,47,1,1,1,1,60853,0.06694602,"Married.Filing.Jointly",97229,-122.843116225584,45.5360631800558,FALSE,0.23,FALSE,0.099,0.11,0.11,0.0611429101206479,0.795353305490701,0,0,0.08,FALSE,28,0.135,5,4,0.243268651861743
2016440,2005823,45,1,1,1,1,128755,0.08724689,"Married.Filing.Jointly",97229,-122.845537461349,45.5438164035034,FALSE,0.24,TRUE,0.073,0.1,0.25,0.0523857279473186,0.763969125790351,0.03,0.03,0.21,FALSE,29,0.184,3,2,0.134440258113574
2017184,2006061,45,0,1,1,1,17617,0.08494558,"Head.of.Household",97229,-122.841343259236,45.53710035593,FALSE,0.26,TRUE,0.46,0.11,0.2,0.0545488754931962,0.850013496507636,0.02,0.01,0.18,FALSE,30,0.112,2,1,0.24357662831017
2018136,2006357,33,1,1,1,1,125981,0.08724689,"Married.Filing.Jointly",97229,-122.849655050572,45.5464862120833,FALSE,0.26,FALSE,0.099,0.23,0.26,0.0617722187726579,0.673392851735196,0.03,0.05,0.22,FALSE,31,0.183,4,3,0.317843936502738
2018593,2006501,35,1,1,1,1,126320,0.08724689,"Married.Filing.Jointly",97229,-122.851598717777,45.5444050072416,FALSE,0.26,TRUE,0.099,0.18,0.21,0.060111671839581,0.687085967892253,0.02,0.01,0.18,FALSE,32,0.183,3,2,0.174985306231862
2019205,2006680,30,0,2,1,1,38205,0.06869751,"Married.Filing.Jointly",97229,-122.849237434164,45.539298308623,FALSE,0.29,FALSE,0.72,0.33,0.34,0.0638256915353304,0.772718919621206,0.05,0.2,0.27,FALSE,33,0.125,3,2,0.193217822862987
2020497,2007165,28,1,1,1,1,55829,0.06694602,"Married.Filing.Jointly",97006,-122.877765034832,45.5179007993624,FALSE,0.26,FALSE,0.21,1.12,0.15,0.0808210916516661,0.668341200866611,0.01,0,0.12,FALSE,34,0.133,2,1,0.15405132769298
2020688,2007271,55,1,1,1,1,84468,0.0736952,"Married.Filing.Jointly",97006,-122.890630040434,45.5173512719657,FALSE,0.22,FALSE,0.073,0.09,0.09,0.0528308437927231,0.833700909674224,0,0,0.06,FALSE,35,0.15,2,1,0.518458610420488
2020981,2007419,53,1,1,1,1,29831,0.07314362,"Married.Filing.Jointly",97006,-122.888074804838,45.5158726149254,FALSE,0.22,TRUE,0.13,0.1,0.1,0.0607504933506466,0.829065330792468,0,0,0.08,FALSE,36,0.118,2,1,0.507764062496358
2021275,2007563,29,1,1,1,1,81806,0.0736952,"Married.Filing.Jointly",97006,-122.873422234226,45.5160823462699,FALSE,0.26,TRUE,0.13,0.54,0.02,0.0745695599775872,0.663034850257137,0,0,0.01,FALSE,37,0.146,3,2,0.241112454821774
2021514,2007692,38,1,2,1,1,60152,0.06694602,"Single",97006,-122.893083852427,45.5170160534009,FALSE,0.24,FALSE,0.13,0.23,0.08,0.068600996358762,0.732559236309042,0,0,0.06,FALSE,38,0.18,1,0,0.350345120517331
2022079,2007963,38,0,1,1,1,82099,0.0736952,"Married.Filing.Jointly",97006,-122.878182646353,45.5154304408714,FALSE,0.28,FALSE,0.39,0.14,0.13,0.0522693477238437,0.809852735741179,0.01,0,0.1,FALSE,39,0.147,2,1,0.202270541499915
2022421,2008127,31,1,1,1,1,99443,0.0736952,"Married.Filing.Jointly",97006,-122.890612316388,45.5311229343175,FALSE,0.26,FALSE,0.13,0.33,0.15,0.0697506053309225,0.66931013642125,0.01,0,0.12,FALSE,40,0.165,3,2,0.311247096956265
2022970,2008395,58,1,1,1,1,77022,0.0736952,"Married.Filing.Jointly",97006,-122.88943037101,45.5317158680859,FALSE,0.21,FALSE,0.073,0.08,0.12,0.0514557855819796,0.84836796714745,0.01,0,0.09,FALSE,41,0.14,2,1,0.583902630612987
2025011,2009225,59,1,1,1,1,50495,0.06694602,"Single",97104,-122.889057792754,45.5609689604072,FALSE,0.21,FALSE,0.099,0.08,0.01,0.0534242066368377,0.852532854102362,0,0,0,FALSE,42,0.166,2,1,0.54016224142677
2025103,2009260,33,1,1,1,1,2481,0.20730913,"Single",97104,-122.890639236363,45.5628201986194,FALSE,0.25,FALSE,0.29,0.88,0.09,0.090687553578509,0.740178354573364,0,0,0.06,TRUE,43,0.1,1,0,0.253081799668699
2026213,2009632,43,1,1,1,1,105338,0.0736952,"Married.Filing.Jointly",97104,-122.885074058617,45.559713877443,FALSE,0.24,FALSE,0.099,0.13,0.52,0.0584649512215646,0.757826121883317,0.06,0.29,0.38,FALSE,44,0.17,2,1,0.310105658747785
2026558,2009756,32,1,1,1,1,21124,0.08494558,"Married.Filing.Jointly",97006,-122.856704128358,45.517394762189,FALSE,0.25,FALSE,0.21,0.54,0.24,0.0843190725277695,0.711614971261162,0.03,0.02,0.2,FALSE,45,0.105,4,3,0.119424574111615
2027637,2010228,34,1,1,1,1,8986,1,"Married.Filing.Jointly",97006,-122.855270849619,45.5196072275435,TRUE,0.25,TRUE,0.046,0.11,0.55,0.0610530930344107,0.63027232430008,0.07,0.32,0.4,TRUE,46,0.1,5,4,0.579175583886426
2029298,2010958,50,1,1,1,1,100551,1,"Married.Filing.Jointly",97006,-122.86212409461,45.5293773949166,TRUE,0.23,FALSE,0.0158,0.03,0.13,0.039629126493824,0.717480183046045,0.01,0,0.11,FALSE,47,0.166,4,3,0.671892457844495
2029314,2010965,28,1,1,1,1,36654,1,"Single",97006,-122.86212409461,45.5293773949166,TRUE,0.26,FALSE,0.046,0.14,0.17,0.061500595541284,0.618848957601605,0.01,0,0.14,FALSE,48,0.137,1,0,0.31924638480012
2029414,2011013,35,1,1,1,1,41529,0.06869751,"Married.Filing.Jointly",97006,-122.859621507315,45.5299819204744,FALSE,0.25,FALSE,0.21,0.33,0.15,0.0747164549562779,0.717224346294948,0.01,0,0.13,FALSE,49,0.127,2,1,0.318435019297846
2029694,2011148,37,0,1,1,1,43667,0.06869751,"Single",97006,-122.861874219786,45.5299621638477,FALSE,0.28,FALSE,0.46,0.16,0.07,0.0568903975953092,0.809080102245658,0,0,0.05,TRUE,50,0.153,1,0,0.231508265588468
2030468,2011454,39,1,1,1,1,54014,0.06694602,"Married.Filing.Jointly",97006,-122.860458498721,45.5265805334296,FALSE,0.24,FALSE,0.13,0.2,0.09,0.0688169110601079,0.742909347900184,0,0,0.06,FALSE,51,0.133,4,3,0.259146672003624
2031917,2011950,27,1,1,1,1,41581,0.06869751,"Single",97006,-122.862488863045,45.515273109678,FALSE,0.26,FALSE,0.21,1.43,0.61,0.0870045874634979,0.675420666321003,0.07,0.35,0.44,FALSE,52,0.148,1,0,0.290260132221754
2032883,2012346,43,0,1,1,1,55812,1,"Head.of.Household",97006,-122.849480382928,45.5140055548007,TRUE,0.27,TRUE,0.29,0.05,0.12,0.0373596667020643,0.771163266965475,0.01,0,0.1,FALSE,53,0.148,2,1,0.278541751863022
2033091,2012428,25,1,1,1,1,77190,1,"Single",97006,-122.85044937862,45.5189079319771,TRUE,0.27,TRUE,0.046,0.14,0.37,0.0588585332232002,0.606662678568686,0.05,0.22,0.29,FALSE,54,0.195,3,2,0.363030740154788
2033285,2012514,46,1,1,1,1,85377,0.0736952,"Married.Filing.Jointly",97006,-122.848657030587,45.5226500303867,FALSE,0.23,FALSE,0.099,0.11,0.07,0.0592182308217876,0.784490896149094,0,0,0.04,FALSE,55,0.151,3,2,0.454991245099527
2033704,2012699,40,1,1,1,1,104737,0.0736952,"Married.Filing.Jointly",97006,-122.849407881122,45.5267870268051,FALSE,0.25,FALSE,0.099,0.16,0.01,0.060981331582103,0.735589435759918,0,0,0.01,FALSE,56,0.169,3,2,0.361294288097569
2034254,2012922,33,0,1,1,1,32073,0.06869751,"Single",97006,-122.848657030587,45.5226500303867,FALSE,0.28,FALSE,0.72,0.26,0.15,0.062092121867494,0.791298605527684,0.01,0,0.12,TRUE,57,0.136,1,0,0.0595277151059874
2034794,2013155,23,1,1,1,1,37881,0.06869751,"Single",97006,-122.849407881122,45.5267870268051,FALSE,0.27,FALSE,0.29,2.62,0.3,0.0936604419217327,0.655348252392442,0.04,0.14,0.25,TRUE,58,0.138,2,1,0.24803131975051
2034829,2013171,41,0,1,1,1,40572,0.0736952,"Married.Filing.Separately",97006,-122.850849616589,45.5268609270842,FALSE,0.27,FALSE,0.46,0.14,0.34,0.0544397559870905,0.827300482938807,0.05,0.19,0.27,FALSE,59,0.146,4,3,0.247155029154415
2035523,2013466,46,1,1,1,1,141461,0.08724689,"Married.Filing.Jointly",97133,-123.05042317597,45.7404310886954,FALSE,0.24,TRUE,0.046,0.1,0.45,0.0495772095896691,0.768208586242834,0.06,0.26,0.34,FALSE,60,0.19,4,3,0.490612093815827
2036857,2013894,51,1,1,1,1,129602,0.08724689,"Married.Filing.Jointly",97133,-122.9937015552,45.6006315931062,FALSE,0.23,FALSE,0.046,0.09,0.01,0.0478946484443083,0.80370329354621,0,0,0.01,FALSE,61,0.185,2,1,0.476362900315141
2037011,2013951,27,1,1,1,1,44484,0.06869751,"Single",97133,-122.999428102638,45.6017028813955,FALSE,0.26,FALSE,0.21,1.43,0.6,0.0859433765615532,0.671015939980501,0.07,0.34,0.43,FALSE,62,0.155,2,1,0.16998201481743
2037034,2013959,32,1,1,1,1,35508,0.06869751,"Married.Filing.Jointly",97133,-122.993171782844,45.6022832416032,FALSE,0.25,FALSE,0.21,0.54,0.1,0.0792774919611394,0.69850191846893,0,0,0.08,FALSE,63,0.123,3,2,0.211833068787797
2038696,2014562,41,1,1,1,1,40658,1,"Married.Filing.Jointly",97124,-123.000671839499,45.5953526896377,TRUE,0.24,FALSE,0.0395,0.08,0.18,0.051735635157627,0.658387056012253,0.02,0.01,0.15,FALSE,64,0.127,4,3,0.506175290080879
2046347,2017222,56,1,1,1,1,31796,0.06869751,"Married.Filing.Jointly",97116,-123.116537441384,45.5210751429637,FALSE,0.21,TRUE,0.099,0.09,0.21,0.0575695737543601,0.845682075258872,0.02,0.01,0.18,FALSE,65,0.12,2,1,0.464805836104824
2046527,2017287,43,1,1,1,1,78609,0.0736952,"Married.Filing.Jointly",97116,-123.142924325982,45.5314594424889,FALSE,0.24,TRUE,0.099,0.14,0.09,0.0622510632175497,0.764446073318415,0,0,0.06,FALSE,66,0.142,6,5,0.377556066294914
2047250,2017540,50,1,1,1,1,90497,1,"Married.Filing.Jointly",97116,-123.126688347817,45.5282742149156,TRUE,0.23,TRUE,0.0158,0.04,0.01,0.0413986592753982,0.72160382234225,0,0,0.01,FALSE,67,0.156,2,1,0.574354288098255
2049786,2018612,38,0,2,1,1,23391,0.08494558,"Head.of.Household",97113,-123.092807209524,45.5212679081539,FALSE,0.27,FALSE,0.72,0.16,0.13,0.05943099740704,0.818795766665201,0.01,0,0.1,FALSE,68,0.122,4,3,0.336671706810759
2051731,2019431,21,0,1,1,1,206,0.30668891,"Married.Filing.Jointly",97113,-123.091865414134,45.5224343120423,FALSE,0.3,FALSE,1,2.32,0.2,0.0850775461539357,0.741267629482975,0.02,0.01,0.17,FALSE,69,0.1,2,1,0.0628576912581116
2053888,2020336,66,0,2,1,1,22540,0.08494558,"Head.of.Household",97116,-123.110352711037,45.5150955486913,FALSE,0.23,TRUE,0.34,0.04,0.08,0.0404297626861158,0.91760966354935,0,0,0.05,FALSE,70,0.121,2,1,0.555266773556878
2054127,2020439,47,1,1,1,1,55593,0.06694602,"Married.Filing.Jointly",97113,-123.098541091177,45.5117399316536,FALSE,0.23,FALSE,0.099,0.11,0.08,0.0619840460636284,0.796153400063608,0,0,0.05,FALSE,71,0.133,3,2,0.376821573252934
2058442,2022005,36,1,1,1,1,29604,1,"Married.Filing.Jointly",97113,-123.061400876081,45.5100557201465,TRUE,0.24,TRUE,0.046,0.1,0.2,0.056520307589474,0.635994325394425,0.02,0.01,0.17,FALSE,72,0.118,3,2,0.406580167847543
2062662,2023318,50,1,1,1,1,90694,0.0736952,"Married.Filing.Jointly",97113,-123.066814361895,45.5183112035446,FALSE,0.23,FALSE,0.099,0.1,0.15,0.0556475615377196,0.80774511640413,0.01,0,0.12,FALSE,73,0.157,5,4,0.53289606785743
2062929,2023402,43,0,1,1,1,13267,1,"Married.Filing.Jointly",97113,-123.068656331583,45.5168429307284,TRUE,0.26,FALSE,0.29,0.06,0.22,0.0428020915748019,0.778266410473293,0.03,0.01,0.19,TRUE,74,0.1,2,1,0.300292387323702
2064619,2024059,24,1,1,1,1,9543,0.1129313,"Married.Filing.Jointly",97113,-123.04303607604,45.5263876225362,FALSE,0.26,TRUE,0.29,2.32,0.17,0.0992100334942417,0.677102177101883,0.02,0,0.14,FALSE,75,0.1,2,1,0.152165277482643
2068520,2025474,34,0,1,1,1,36425,0.06869751,"Married.Filing.Jointly",97109,-123.154349259336,45.7538795796166,FALSE,0.28,FALSE,0.72,0.2,0.1,0.0607259844205434,0.79726257444173,0,0,0.07,FALSE,76,0.124,2,1,0.200145765671523
2068797,2025557,39,1,1,1,1,150991,0.12801428,"Married.Filing.Jointly",97125,-123.178553474783,45.6815859587551,FALSE,0.25,FALSE,0.073,0.13,0.36,0.0534066088135139,0.710194000858336,0.05,0.2,0.29,FALSE,77,0.194,2,1,0.407991619160974
2069786,2025903,37,1,1,1,1,201334,0.12801428,"Married.Filing.Jointly",97106,-123.118547039371,45.6528971969321,FALSE,0.26,TRUE,0.0339,0.11,0.26,0.0452898450000787,0.679327883981699,0.03,0.06,0.22,TRUE,78,0.215,4,3,0.312848503836789
2071321,2026417,52,1,1,1,1,126433,0.08724689,"Married.Filing.Jointly",97106,-123.109881406836,45.610331472113,FALSE,0.23,FALSE,0.046,0.09,0.29,0.0476436294963967,0.810073385278714,0.04,0.11,0.24,FALSE,79,0.183,2,1,0.417225231667203
2073177,2027018,56,1,1,1,1,68416,0.06694602,"Single",97132,-123.007919547543,45.4021249945171,FALSE,0.22,FALSE,0.073,0.09,0.03,0.0535785575832021,0.841979164231138,0,0,0.02,FALSE,80,0.188,5,4,0.409918969643842
2073847,2027229,38,1,1,1,1,69117,1,"Married.Filing.Jointly",97132,-123.007919547543,45.4021249945171,TRUE,0.25,TRUE,0.0339,0.09,0.29,0.0501455447533082,0.638149383440992,0.04,0.13,0.24,FALSE,81,0.136,5,4,0.431224636846423
2074013,2027275,34,1,1,1,1,35674,0.06869751,"Married.Filing.Jointly",97132,-123.008175099252,45.4021249765128,FALSE,0.25,FALSE,0.21,0.42,0.02,0.0768387825791586,0.71260453377357,0,0,0.01,FALSE,82,0.124,5,4,0.337734056364205
2074258,2027351,47,1,1,1,1,70190,0.0736952,"Single",97132,-123.008175099252,45.4021249765128,FALSE,0.23,TRUE,0.099,0.11,0.11,0.0602462856313115,0.793693917837627,0,0,0.08,FALSE,83,0.19,2,1,0.453343462115565
2076267,2027996,29,1,1,1,1,57519,1,"Married.Filing.Jointly",97123,-123.001411931523,45.4537339257724,TRUE,0.26,FALSE,0.046,0.13,0.05,0.0576730789691237,0.619255057950865,0,0,0.03,FALSE,84,0.134,2,1,0.207449953652048
2076507,2028094,31,1,1,1,1,51594,0.06694602,"Single",97123,-123.0046040652,45.4530047437441,FALSE,0.26,FALSE,0.21,0.54,0,0.0770995125379828,0.686521848492129,0,0,0,FALSE,85,0.168,4,3,0.27843443042631
2077679,2028541,44,1,1,1,1,72059,0.0736952,"Single",97119,-123.142481639834,45.437213340324,FALSE,0.24,FALSE,0.099,0.14,0.51,0.0621331202763604,0.774019093216532,0.06,0.29,0.37,FALSE,86,0.191,4,3,0.418089460442305
2081551,2029796,43,1,1,1,1,196232,0.12801428,"Married.Filing.Jointly",97140,-122.901903702193,45.3246715181699,FALSE,0.25,FALSE,0.025,0.1,0.11,0.0431893394522551,0.731367772097671,0,0,0.08,FALSE,87,0.214,3,2,0.406503647035396
2082728,2030247,36,1,1,1,1,65026,0.06694602,"Married.Filing.Jointly",97140,-122.958609117209,45.3974911044311,FALSE,0.25,TRUE,0.13,0.26,0.15,0.0703406863358089,0.717061686761665,0.01,0,0.12,FALSE,88,0.136,4,3,0.528512967035316
2082756,2030257,52,1,1,1,1,158733,0.12801428,"Married.Filing.Jointly",97180,-122.8684792494,45.3860587342634,FALSE,0.23,TRUE,0.0339,0.07,0.13,0.043993944078033,0.805961194717287,0.01,0,0.1,FALSE,89,0.198,2,1,0.401466521300586
2082945,2030326,51,0,1,1,1,57132,1,"Head.of.Household",97180,-122.888202557305,45.3859042160907,TRUE,0.25,FALSE,0.29,0.03,0.21,0.0336245958352297,0.821088038099621,0.02,0.01,0.18,FALSE,90,0.15,3,2,0.580224751369012
2083265,2030434,45,1,1,1,1,70917,1,"Married.Filing.Jointly",97140,-122.907386274559,45.3750567823767,TRUE,0.23,FALSE,0.025,0.06,0.41,0.0455659117240994,0.683408357488591,0.05,0.23,0.32,FALSE,91,0.137,3,2,0.547613092192258
2084806,2030987,29,1,1,1,1,46488,0.06869751,"Married.Filing.Jointly",97007,-122.888693270589,45.4651607347527,FALSE,0.26,FALSE,0.21,0.88,0.48,0.0814525151595905,0.679240867702705,0.06,0.28,0.36,TRUE,92,0.13,2,1,0.208325673527677
2085306,2031185,64,1,1,1,1,148423,0.12801428,"Married.Filing.Jointly",97007,-122.869108835762,45.4652299841706,FALSE,0.21,FALSE,0.025,0.03,0.05,0.0376724944971828,0.859183411247356,0,0,0.03,FALSE,93,0.193,4,3,0.594529826266714
2086178,2031503,37,1,1,1,1,16969,0.08494558,"Married.Filing.Jointly",97007,-122.878532261805,45.4677607264874,FALSE,0.24,FALSE,0.21,0.29,0.04,0.0774599586788918,0.744575798399795,0,0,0.03,TRUE,94,0.1,5,4,0.272647827579264
2086423,2031593,44,1,1,1,1,47230,0.06869751,"Single",97007,-122.871398486262,45.4641434406639,FALSE,0.23,FALSE,0.13,0.16,0.03,0.0652807185250024,0.778576765740196,0,0,0.02,FALSE,95,0.16,5,4,0.378948690948056
2087579,2031979,37,0,1,1,1,27799,0.07314362,"Single",97007,-122.883534092178,45.4534720329533,FALSE,0.27,FALSE,0.72,0.18,0.06,0.0596760996475538,0.813580304537883,0,0,0.04,FALSE,96,0.133,1,0,0.114844056438176
2089996,2032847,29,1,1,1,1,24891,0.07314362,"Married.Filing.Jointly",97229,-122.823276646375,45.5213939359072,FALSE,0.26,TRUE,0.29,1.12,0.57,0.0893361719774513,0.696168523516014,0.07,0.33,0.4,FALSE,97,0.112,3,2,0.251053477066892
2090034,2032860,29,1,1,1,1,36990,0.06869751,"Married.Filing.Jointly",97229,-122.823586373431,45.5206203197814,FALSE,0.26,FALSE,0.21,1.12,0.18,0.0839368628423908,0.68495280975785,0.02,0,0.15,FALSE,98,0.125,2,1,0.268155555507603
2090974,2033283,31,1,1,1,1,23129,0.06694602,"Married.Filing.Separately",97006,-122.826315189988,45.519305839567,FALSE,0.25,FALSE,0.29,0.78,0.09,0.0861933601332456,0.708488148740871,0,0,0.06,FALSE,99,0.13,2,1,0.149063300845868
2092986,2034198,44,1,1,1,1,204048,0.12801428,"Married.Filing.Jointly",97225,-122.777577117485,45.5012596020477,FALSE,0.25,FALSE,0.025,0.09,0.11,0.0400129450127973,0.734231977561372,0.01,0,0.09,FALSE,100,0.216,4,3,0.428509879926723
2093319,2034343,35,1,1,1,1,85979,1,"Married.Filing.Jointly",97225,-122.78024869499,45.4972547658176,TRUE,0.25,FALSE,0.0339,0.1,0.31,0.0512889907647885,0.627774528745433,0.04,0.15,0.25,FALSE,101,0.151,5,4,0.390530519897781
2093925,2034609,46,1,1,1,1,88823,0.0736952,"Married.Filing.Jointly",97225,-122.7634771634,45.5005246880525,FALSE,0.23,TRUE,0.099,0.11,0.19,0.0589604185623136,0.78443641860257,0.02,0.01,0.16,FALSE,102,0.155,3,2,0.41455128944055
2094507,2034868,55,1,1,1,1,46595,1,"Married.Filing.Jointly",97225,-122.772103213095,45.4988770128897,TRUE,0.22,TRUE,0.025,0.03,0.13,0.042839050239264,0.772179989308932,0.01,0,0.1,FALSE,103,0.13,2,1,0.569176817140528
